SAMPLE_ID,식품명,식품상세분류,1회제공량,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
R000852-ZZ-AVG,"부지갱이(섬쑥부쟁이), 말린것",채소류,100,258,14.2,25.7,2,50,-,-,112,-,-,404,-,-,-,-,-,-
R000853-ZZ-AVG,"부지갱이(섬쑥부쟁이), 삶아서 말린것",채소류,100,296,7.8,25.09,2.88,59.07,5.37,31.1,571,9.49,145,468,1466,214,2.66,0.323,7.512,8.22
R000854-ZZ-AVG,"부지갱이(섬쑥부쟁이), 삶아서 말린것, 삶은것",채소류,100,48,85.4,5.17,0.68,8.24,0.38,6.7,121,1.28,24,73,50,10,0.27,0.018,1.289,0.33
R000855-ZZ-AVG,"부지갱이(섬쑥부쟁이), 데친것",채소류,100,33,89.5,4,0.65,4.92,0.61,4.3,80,0.83,25,72,312,11,0.27,0.045,0.357,0.31
R000856-ZZ-AVG,"부추, 두메부추, 생것",채소류,100,46,86.1,1.2,0.1,11.9,-,-,107,3.1,-,45,251,2,-,-,-,-
R000857-ZZ-AVG,"부추, 산부추, 생것",채소류,100,41,86.2,3.5,0.1,8.8,-,-,14,0.3,-,82,225,15,-,-,-,-
R000858-ZZ-AVG,"부추, 재래종, 생것",채소류,100,22,93,1.8,0.3,4.1,-,-,28,3.4,-,23,-,3,-,-,-,-
R000859-ZZ-AVG,"부추, 재래종, 데친것",채소류,100,20,93.1,2.3,0.2,3.6,-,-,52,0.7,-,23,-,2,-,-,-,-
R000860-ZZ-AVG,"부추, 호부추, 생것",채소류,100,30,90.5,2.06,0.33,6.23,2.86,4.8,59,0.83,17,42,396,0,0.33,0.031,0.252,0.53
R000861-ZZ-AVG,"부추, 호부추, 데친것",채소류,100,32,90,2.37,0.35,6.42,2.39,4.1,63,0.38,18,42,381,1,0.27,0.028,0.189,0.88
R000862-ZZ-AVG,"브로콜리, 생것",채소류,100,32,89.4,3.08,0.2,6.32,0.79,3.1,39,0.8,23,68,365,3,0.76,0.025,0.304,0.78
R000863-ZZ-AVG,"브로콜리, 가루 ",채소류,100,284,4.6,17.5,3.9,58.4,-,-,-,5.4,-,307,1468,145,-,-,-,-
R000864-ZZ-AVG,"브로콜리, 삶은것",채소류,100,27,91.3,3.5,0.4,4.3,-,3.7,33,0.7,17,66,180,14,0.3,0.06,0.17,-
R000865-ZZ-AVG,"브로콜리, 데친것",채소류,100,28,90.7,2.8,0.31,5.34,0.4,3.1,37,0.68,20,60,301,4,0.83,0.02,0.218,2.21
R000866-ZZ-AVG,"브로콜리, 싹, 생것",채소류,100,31,90.9,3.81,0.92,3.8,0.91,1.8,73,0.66,50,101,85,16,0.97,0.02,0.235,2.13
R000867-ZZ-AVG,"브로콜리, 잎, 생것",채소류,100,38,88.1,2.2,0.4,8.1,-,-,173,0.3,-,37,103,18,-,-,-,-
R000868-ZZ-AVG,"브로콜리, 잎, 말린것",채소류,100,258,11.2,15.4,2.8,55.3,-,-,2705,2.7,-,332,1707,193,-,-,-,-
R000869-ZZ-AVG,"브로콜리, 잎, 삶아서 말린것",채소류,100,271,13.4,17.4,1.8,59.8,-,-,1716,3.9,-,364,671,35,-,-,-,-
R000870-ZZ-AVG,"비름, 생것",채소류,100,23,91.3,2.72,0.29,3.96,0.31,3.4,133,1.42,155,56,670,65,1.48,0.094,0.557,0.61
R000871-ZZ-AVG,"비름, 데친것",채소류,100,27,90.6,2.98,0.41,4.51,0.27,4.1,183,0.83,84,54,541,46,1.45,0.087,0.636,0.75
R000872-ZZ-AVG,"비타민채(다채), 생것",채소류,100,14,94.5,2.1,0.2,2,-,-,91,2.7,-,51,559,17,-,-,-,-
R000873-ZZ-AVG,"비타민채, 싹, 생것",채소류,100,54,87.7,3.1,3.3,5.4,-,5.4,47,1.3,-,99,85,5,-,-,-,-
R000874-ZZ-AVG,"비트, 뿌리, 생것",채소류,100,26,92.1,1.56,0.14,5.26,2.87,3.7,9,0.29,18,33,393,83,0.34,0.043,1.784,5.24
R000875-ZZ-AVG,"비트, 뿌리, 데친것",채소류,100,23,93.3,1.28,0.13,4.66,2.82,3,8,0.28,14,27,309,69,0.39,0.033,1.413,4.61
R000876-ZZ-AVG,"비트, 잎, 생것",채소류,100,16,92.9,2.2,0.1,2.8,-,-,57,4,-,54,494,254,-,-,-,-
R000877-ZZ-AVG,"비트, 잎, 데친것",채소류,100,15,93.9,2.3,0.2,2.2,-,-,75,1.6,-,40,365,159,-,-,-,-
R000879-ZZ-AVG,"비트 피클, 뿌리, 통조림",채소류,100,65,81.88,0.8,0.08,16.28,11.05,0.8,11,0.41,15,17,115,149,0.26,0.116,0.22,1
R000880-ZZ-AVG,"사탕무, 생것",채소류,100,77,78.5,1.8,0,18.7,-,-,11,0.8,-,30,343,61,-,-,-,-
R000881-ZZ-AVG,"사탕수수, 생것",채소류,100,77,77.3,1.1,0,20.9,-,-,26,0.9,-,10,328,10,-,-,-,-
R000882-ZZ-AVG,"산마늘(명이나물), 생것",채소류,100,36,89,2.02,0.21,8.21,3.8,4.1,53,0.59,14,41,309,0,0.27,0.17,2.241,0.99
R000883-ZZ-AVG,"산마늘(명이나물), 데친것",채소류,100,37,88.5,2.08,0.31,8.29,2.99,3.9,60,0.55,17,44,300,0,0.35,0.179,2.271,1.61
R000884-ZZ-AVG,"삼나물, 말린것",채소류,100,293,7.5,22.8,2.2,61.3,-,-,25,2.4,-,586,-,-,-,-,-,-
R000885-ZZ-AVG,"삼붕냐와, 생것",채소류,100,27,92.1,1.62,1.09,3.84,0.24,3.8,108,1.05,48,17,295,186,0.2,0.03,0.779,0.91
R000886-ZZ-AVG,"삼채, 생것",채소류,100,23,92.4,1.55,0.13,4.99,0.81,2.8,60,0.83,20,49,318,2,0.31,0.028,0.198,1.69
R000887-ZZ-AVG,"삼채, 데친것",채소류,100,28,91,2.04,0.27,5.77,0,3,71,0.73,21,46,296,3,0.6,0.041,0.213,1.09
R000888-ZZ-AVG,"삼채, 뿌리, 생것",채소류,100,49,86.2,0.77,0.04,12.15,3.34,4.8,64,5.78,38,63,195,15,2.54,0.466,0.452,1.76
R000889-ZZ-AVG,"삼채, 잎, 생것",채소류,100,24,91.9,1.95,0.2,4.8,1.82,4.1,60,3.75,22,46,404,4,0.29,0.031,0.275,2.97
R000890-ZZ-AVG,"삼채, 줄기, 생것",채소류,100,19,93.7,0.78,0.09,4.65,1.31,3.8,95,0.64,24,44,25,2,0.47,0.025,0.13,1.02
R000891-ZZ-AVG,"삽주나물, 생것",채소류,100,52,84.1,5.3,1.3,7.9,-,-,108,4.4,-,86,-,-,-,-,-,-
